stt,category,group,question,answer
1,Chi tieu,,Những giao dịch nào của tôi cần xác thực bằng sinh trắc học?,"Từ ngày 01/07/2024 theo Quyết định 2345/NHNN của Ngân hàng nhà nước, các giao dịch vượt hạn mức phải xác thực sinh trắc học bằng khuôn mặt  khi thực hiện giao dịch trên Techcombank Mobile hoặc Techcombank Online Banking, cụ thể:

Chuyển tiền trên 10 triệu đồng/giao dịch, cộng dồn trên 20 triệu đồng/ngày.
Giao dịch thanh toán trên 100 triệu đồng/giao dịch hoặc cộng dồn trên 100 triệu đồng/ngày.
Các giao dịch quốc tế, hoặc mua bán ngoại tệ.
Giao dịch tài chính đầu tiên trên thiết bị mới, lần đầu đăng nhập, hoặc khi thay đổi thiết bị cài đặt Techcombank Mobile.
Giao dịch chuyển khoản theo lô và giao dịch thanh toán trên eTax Mobile

 

Từ ngày 01/01/2025, theo thông tư 17/2024/TT-NHNN, khách hàng không thể thực hiện được giao dịch trên Techcombank Mobile, Techcombank Online Banking, giao dịch thẻ nếu chưa cập nhật sinh trắc học."
2,Chi tieu,,Thông tin sinh trắc học của tôi sẽ sử dụng vào mục đích gì tại Ngân hàng?,"Bắt đầu từ ngày 01/07/2024, Techcombank sẽ áp dụng thêm bước xác thực bằng sinh trắc học cho các giao dịch của quý khách, nhằm đáp ứng tiêu chuẩn bảo mật của Ngân hàng Nhà nước (NHNN) đề ra cũng như bảo vệ tài sản của khách hàng khi thực hiện một số giao dịch trên kênh ngân hàng số. Nếu thông tin khớp thì giao dịch sẽ được thực hiện, nếu thông tin không khớp thì hệ thống sẽ yêu cầu Quý khách chụp lại và chưa thực hiện giao dịch tại thời điểm đó."
3,Chi tieu,,Tôi vào đâu trên Techcombank Mobile để biết trạng thái cập nhật thông tin sinh trắc học của bản thân?,"Để kiểm tra trạng thái thông tin sinh trắc học quý khách vui lòng thực hiện theo hướng dẫn sau trên Techcombank Mobile:

 Bước 1: Truy cập Techcombank Mobile, chọn biểu tượng trên cùng tay trái, chọn ""Cài đặt"", sau đó chọn ""Thông tin cá nhân"", 
 Bước 2: Tại trường thông tin ""Thông tin sinh trắc học"" có trạng thái là ""Đã bổ sung"" thì quý khách đã cập nhật thông tin sinh trắc học thành công, còn nếu màn hình hiển thị thông báo với nội dung ""Bổ sung thông tin sinh trắc học để hoàn thiện bảo mật tài khoản"", quý khách chưa hoàn tất đăng ký và cần bổ sung thông tin sinh trắc học"
4,Chi tieu,,Làm thế nào để tôi biết thiết bị của mình có hỗ trợ đọc thông tin CCCD gắn chip?,"Khi thao tác theo hướng dẫn trên Techcombank Mobile để bổ sung thông tin sinh trắc học, tại màn hình giới thiệu, quý khách bấm vào ""Bổ sung ngay"" hệ thống sẽ tự động nhận diện thiết bị di động của quý khách có đủ điều kiện đọc chip trên CCCD (NFC).

 

Nếu xuất hiện màn hình thông báo ""Vui lòng ghé chi nhánh để bổ sung thông tin"" thể hiện thiết bị di động của quý khách không hỗ trợ công nghệ này."
5,Chi tieu,,"Tôi sử dụng CMND cũ để mở tài khoản, giờ bổ sung thông tin sinh trắc học trên CCCD gắn chip thì tôi có phải ra ngân hàng cập nhật lại thông tin không?","Để đảm bảo trải nghiệm liền mạch khi thực hiện bổ sung thông tin sinh trắc học bằng CCCD gắn chip, Techcombank hỗ trợ thêm cập nhật thông tin CCCD trên hệ thống khi Quý khách hoàn tất việc bổ sung thông tin sinh trắc học. Quý khách có thể cập nhật thông tin CCCD khi bổ sung thông tin sinh trắc học trên ứng dụng Techcombank Mobile (áp dụng với thiết bị hỗ trợ đọc thông tin chip NFC) hoặc tại các chi nhánh của Techcombank.

 

Đối với khách hàng đang có CMT/CCCD cũ sẽ được hỗ trợ cập nhật sinh trắc học tại Quầy giao dịch của Techcombank"
6,Chi tieu,,"Sau 01/07/2024, tôi phải cập nhật sinh trắc học thì mới giao dịch được?","Sau 01/07/2024, những giao dịch trực tuyến nằm trong quy định của NHNN và Techcombank sẽ yêu cầu xác thực bằng sinh trắc học. Còn các giao dịch trực tuyến không nằm trong quy định NHNN và Techcombank sẽ vẫn được thực hiện giao dịch như bình thường.
 
Từ ngày 01/01/2025, theo thông tư 17/2024/TT-NHNN, khách hàng không thể thực hiện được giao dịch trên Techcombank Mobile, Techcombank Online Banking, giao dịch thẻ nếu chưa cập nhật sinh trắc học."
7,Chi tieu,,Điện thoại của tôi không có faceID thì có cập nhật được không?,"Cập nhật sinh trắc học được thực hiện bằng cách chụp ảnh bằng máy ảnh phía trước của điện thoại, vì vậy trong trường hợp thiết bị của Quý khách không có FaceID sẽ không bị ảnh hưởng."
8,Chi tieu,,Tôi có thể nhờ người thân mang hộ chứng minh thư đi làm hộ được không? Và thực hiện qua hình thức nào?,"Hiện tại Techcombank chỉ có 2 kênh để thực hiện cập nhật sinh trắc học: 
1. Techcombank Mobile
2. Quầy giao dịch của Techcombank 
Quý khách cần sử dụng  giấy tờ tuỳ thân của chính mình và chính mình thực hiện cập nhật thông tin sinh trắc học."
9,Chi tieu,,Tôi mở tài khoản bằng hình thức NFC đã thu thập thông tin từ chip của CCCD sao giờ lại bắt thu thập lại?,"Kể từ ngày 31/03/2024, những khách hàng mở tài khoản qua hình thức NFC từ CCCD gắn chip sẽ không cần thu thập lại thông tin sinh trắc học"
10,Chi tieu,,Tôi có thể cập nhật sinh trắc học sau 01/07/2024 được không? Và tôi có thể cập nhật qua hình thức nào?,"Sau 01/07/2024, khách hàng vẫn có thể cập nhật sinh trắc học qua Techcombank Mobile hoặc mang theo thẻ CCCD gắn chip tới các chi nhánh/phòng giao dịch của Techcombank, các chuyên viên sẽ hỗ trợ cập nhật."
